unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1.606E+12,22/11/2020 0:00,ETH/USDT,552.42,580.88,511.28,560.03,1850317.936,1014064539,768900
1.60592E+12,21/11/2020 0:00,ETH/USDT,510.12,553.32,502.82,552.35,1548851.291,815402228.5,649077
1.60583E+12,20/11/2020 0:00,ETH/USDT,471.26,514.4,470.65,510.12,1516361.907,756660192.9,607663
1.60574E+12,19/11/2020 0:00,ETH/USDT,478.43,480.75,464.86,471.25,817418.5269,387199111.4,404737
1.60566E+12,18/11/2020 0:00,ETH/USDT,482.11,495.31,456.6,478.41,1477696.291,706704397.4,637641
1.60557E+12,17/11/2020 0:00,ETH/USDT,460.51,484.88,459.8,482.15,1151573.375,544239665.4,464336
1.60548E+12,16/11/2020 0:00,ETH/USDT,448.07,466,445.45,460.55,812060.4464,370889706.7,328762
1.6054E+12,15/11/2020 0:00,ETH/USDT,460.9,462.89,440.19,448.08,665217.5667,301406126.5,311451
1.60531E+12,14/11/2020 0:00,ETH/USDT,476.42,477.47,452,460.89,735252.7854,340142257.2,350772
1.60523E+12,13/11/2020 0:00,ETH/USDT,462.48,478.01,457.12,476.43,976665.0975,456232937.2,427363
1.60514E+12,12/11/2020 0:00,ETH/USDT,463.09,470,451.2,462.39,990776.6291,455971309.2,411840
1.60505E+12,11/11/2020 0:00,ETH/USDT,450.34,476.25,449.28,463.09,1205782.843,559228791.9,560360
1.60497E+12,10/11/2020 0:00,ETH/USDT,444.32,455,438.7,450.34,866872.4111,388190148.2,384228
1.60488E+12,9/11/2020 0:00,ETH/USDT,454.29,459.1,433.09,444.32,1099213.246,491928165,469947
1.60479E+12,8/11/2020 0:00,ETH/USDT,435.2,460.1,431.99,454.3,840908.4684,375679148.2,354341
1.60471E+12,7/11/2020 0:00,ETH/USDT,455.91,468.28,424.14,435.21,1653416.596,743871175.8,674858
1.60462E+12,6/11/2020 0:00,ETH/USDT,416.73,458.27,414.76,455.91,1682440.96,736015135.6,666505
1.60453E+12,5/11/2020 0:00,ETH/USDT,402.5,420.4,396.14,416.69,1475139.773,601591250.4,513574
1.60445E+12,4/11/2020 0:00,ETH/USDT,387.88,408.39,376.47,402.49,1157064.351,454481208.4,392310
1.60436E+12,3/11/2020 0:00,ETH/USDT,383.01,390,370.23,387.88,752954.3711,286291774,280412
1.60428E+12,2/11/2020 0:00,ETH/USDT,396.68,404.5,377.92,383.02,779968.5796,304223545.9,290370
1.60419E+12,1/11/2020 0:00,ETH/USDT,386.44,398.29,384.61,396.67,438952.9557,171238317.7,181369
1.6041E+12,31/10/2020 0:00,ETH/USDT,382.59,394.88,379.9,386.46,467453.8105,181136851.5,218528
1.60402E+12,30/10/2020 0:00,ETH/USDT,387.12,391.97,373.29,382.49,771750.7475,294342546,289735
1.60393E+12,29/10/2020 0:00,ETH/USDT,388.22,393.72,380.52,387.13,573096.0142,222669504.9,248649
1.60384E+12,28/10/2020 0:00,ETH/USDT,403.41,409.2,380.52,388.23,855275.4688,335751199.3,348661
1.60376E+12,27/10/2020 0:00,ETH/USDT,392.52,410.25,389.9,403.45,754244.3755,302522886.8,286217
1.60367E+12,26/10/2020 0:00,ETH/USDT,405.85,411.11,382.3,392.52,895142.6727,356208480.6,329493
1.60358E+12,25/10/2020 0:00,ETH/USDT,412.14,417.4,402.5,405.86,415586.9761,170054743.3,177854
1.6035E+12,24/10/2020 0:00,ETH/USDT,409.19,416.66,407,412.14,419236.8711,172799824.6,182680
1.60341E+12,23/10/2020 0:00,ETH/USDT,413.94,419.33,401.3,409.11,727832.3224,299943190.9,293671
1.60332E+12,22/10/2020 0:00,ETH/USDT,390.31,420.73,390.21,413.98,1095897.207,447211002.5,412013
1.60324E+12,21/10/2020 0:00,ETH/USDT,368.53,401.49,367.74,390.38,1221663.638,472488832.7,450963
1.60315E+12,20/10/2020 0:00,ETH/USDT,379.3,380.73,365.27,368.52,617309.8168,229928443.8,251051
1.60307E+12,19/10/2020 0:00,ETH/USDT,378.12,384.32,372.5,379.3,577252.9027,218372640,224887
1.60298E+12,18/10/2020 0:00,ETH/USDT,368.31,378.64,367.1,378.11,323468.471,120818450.6,133043
1.60289E+12,17/10/2020 0:00,ETH/USDT,365.5,370.46,363.36,368.32,285578.2454,104838880.5,126045
1.60281E+12,16/10/2020 0:00,ETH/USDT,377.63,379.83,361.18,365.5,654029.364,241127894.7,255775
1.60272E+12,15/10/2020 0:00,ETH/USDT,378.69,381.79,369.85,377.64,634038.0945,238396852.8,228454
1.60263E+12,14/10/2020 0:00,ETH/USDT,381.05,387.41,373.13,378.69,569557.8294,216288027,214375
1.60255E+12,13/10/2020 0:00,ETH/USDT,386.51,387.75,374.51,381.04,645141.9139,246276552,239460
1.60246E+12,12/10/2020 0:00,ETH/USDT,374.17,394.8,365.58,386.51,844422.6544,320587055.5,309500
1.60237E+12,11/10/2020 0:00,ETH/USDT,370.51,377.6,368.87,374.16,373318.2378,139329772.5,164475
1.60229E+12,10/10/2020 0:00,ETH/USDT,365.01,378.4,364.71,370.52,591005.3213,220607973,253825
1.6022E+12,9/10/2020 0:00,ETH/USDT,350.94,368.33,347.32,365.02,650478.1934,232878561.9,241168
1.60212E+12,8/10/2020 0:00,ETH/USDT,341.58,353.32,334.21,350.95,631794.8756,217322067,220053
1.60203E+12,7/10/2020 0:00,ETH/USDT,340.8,342.85,332.18,341.58,541928.8638,183873686.4,195112
